p_physical,E_QEC_J,passive_wins
1.0404e-03,3.4960e-11,1
1.4442e-04,1.1173e-15,1
3.7297e-04,7.8861e-16,1
9.9213e-03,inf,1
1.1143e-05,2.3143e-15,1
8.0130e-04,4.3699e-15,1
1.0433e-04,1.2454e-15,1
6.5833e-03,inf,1
6.4157e-05,1.4498e-15,1
1.0714e-04,1.2346e-15,1
1.7401e-05,2.0751e-15,1
4.5198e-04,7.4596e-16,1
6.1327e-04,8.6707e-16,1
5.1565e-03,inf,1
1.4244e-04,1.1226e-15,1
6.7033e-03,inf,1
2.4721e-05,1.8958e-15,1
7.7268e-05,1.3698e-15,1
1.4495e-03,6.1741e+18,1
3.0195e-05,1.7973e-15,1
3.0098e-05,1.7989e-15,1
2.5828e-03,inf,1
1.1498e-04,1.2064e-15,1
4.8426e-05,1.5751e-15,1
2.5075e-05,1.8887e-15,1
3.9097e-05,1.6740e-15,1
1.1114e-03,9.0996e-09,1
2.7138e-05,1.8496e-15,1
1.4047e-04,1.1280e-15,1
5.4356e-05,1.5230e-15,1
1.9612e-04,1.0032e-15,1
1.6090e-05,2.1162e-15,1
4.1561e-03,inf,1
3.0416e-03,inf,1
1.0295e-05,2.3582e-15,1
4.1743e-03,inf,1
1.9221e-04,1.0105e-15,1
3.7198e-05,1.6974e-15,1
2.7443e-05,1.8441e-15,1
1.0291e-03,1.6888e-11,1
1.3155e-04,1.1534e-15,1
3.4526e-04,8.1117e-16,1
2.1540e-04,9.6946e-16,1
1.2142e-03,1.0862e-03,1
2.1903e-04,9.6351e-16,1
2.6065e-05,1.8695e-15,1
8.2891e-05,1.3401e-15,1
9.1501e-03,inf,1
1.2447e-03,9.4507e-02,1
2.6099e-04,9.0239e-16,1
4.0142e-04,7.6926e-16,1
7.1457e-05,1.4031e-15,1
4.1296e-05,1.6484e-15,1
3.0438e-05,1.7934e-15,1
5.0754e-03,inf,1
5.5160e-04,7.6607e-16,1
3.6297e-03,inf,1
3.5073e-03,inf,1
8.1182e-03,inf,1
4.9578e-03,inf,1
5.5706e-04,7.7120e-16,1
6.2408e-05,1.4619e-15,1
1.6286e-03,9.0557e+48,1
2.8581e-05,1.8241e-15,1
2.6869e-04,8.9249e-16,1
4.6597e-04,7.4256e-16,1
4.5976e-04,7.4388e-16,1
1.0184e-05,2.3642e-15,1
1.0920e-05,2.3255e-15,1
3.3792e-05,1.7431e-15,1
2.6816e-04,8.9315e-16,1
1.9039e-05,2.0284e-15,1
4.9223e-04,7.4067e-16,1
6.5456e-05,1.4411e-15,1
