p_physical,E_QEC_J,passive_wins
7.5095e-05,1.3819e-15,1
2.0959e-03,5.5438e+215,1
2.0566e-05,1.9888e-15,1
1.5223e-04,1.0972e-15,1
3.2733e-03,inf,1
4.8149e-05,1.5777e-15,1
2.3824e-04,9.3391e-16,1
6.2510e-04,9.0091e-16,1
2.8119e-05,1.8321e-15,1
6.4542e-04,9.7538e-16,1
1.7993e-03,7.5578e+92,1
3.7691e-04,7.8569e-16,1
1.5953e-05,2.1207e-15,1
4.3678e-05,1.6224e-15,1
1.8217e-04,1.0301e-15,1
4.7342e-03,inf,1
2.2518e-05,1.9427e-15,1
1.5684e-03,1.6018e+37,1
1.5645e-05,2.1310e-15,1
7.9027e-04,3.6600e-15,1
5.8095e-04,8.0118e-16,1
1.0612e-03,1.4933e-10,1
9.3003e-03,inf,1
2.2677e-03,inf,1
1.7424e-05,2.0744e-15,1
4.9482e-04,7.4085e-16,1
6.5019e-04,9.9647e-16,1
3.3068e-05,1.7534e-15,1
2.5238e-03,inf,1
6.4296e-03,inf,1
9.2914e-03,inf,1
5.2623e-04,7.4915e-16,1
2.5697e-05,1.8766e-15,1
8.3351e-03,inf,1
7.9578e-05,1.3573e-15,1
1.3871e-05,2.1952e-15,1
4.9160e-05,1.5683e-15,1
8.9608e-03,inf,1
8.5533e-04,1.3023e-14,1
2.1623e-05,1.9633e-15,1
2.5157e-05,1.8871e-15,1
2.7087e-03,inf,1
5.6221e-04,7.7657e-16,1
3.4238e-04,8.1373e-16,1
1.5216e-05,2.1458e-15,1
1.5334e-03,1.4360e+31,1
7.9484e-04,3.9323e-15,1
3.3512e-04,8.2032e-16,1
9.9169e-05,1.2660e-15,1
1.3631e-04,1.1396e-15,1
7.6485e-03,inf,1
4.6820e-04,7.4216e-16,1
5.2025e-03,inf,1
2.0259e-04,9.9143e-16,1
2.0768e-05,1.9838e-15,1
2.1641e-04,9.6780e-16,1
4.7335e-04,7.4140e-16,1
1.6128e-03,5.0105e+45,1
2.1628e-03,1.7900e+253,1
8.7220e-03,inf,1
1.3921e-05,2.1932e-15,1
1.5497e-03,8.2289e+33,1
1.2325e-03,1.4976e-02,1
4.5074e-04,7.4633e-16,1
9.9574e-04,2.4415e-12,1
8.4246e-05,1.3333e-15,1
7.7254e-03,inf,1
2.1915e-05,1.9564e-15,1
1.3117e-03,1.1625e+04,1
2.7113e-04,8.8942e-16,1
1.1054e-04,1.2221e-15,1
1.0777e-05,2.3328e-15,1
5.1590e-03,inf,1
1.6597e-05,2.0999e-15,1
5.1206e-04,7.4389e-16,1
5.1386e-05,1.5483e-15,1
1.8060e-04,1.0333e-15,1
1.7507e-05,2.0719e-15,1
1.9115e-03,4.5477e+131,1
1.1806e-04,1.1959e-15,1
1.3017e-04,1.1575e-15,1
7.5629e-05,1.3789e-15,1
3.8153e-05,1.6855e-15,1
4.2312e-04,7.5735e-16,1
5.9186e-05,1.4852e-15,1
1.0278e-04,1.2514e-15,1
8.3579e-03,inf,1
2.9262e-03,inf,1
5.2826e-03,inf,1
2.1452e-04,9.7092e-16,1
4.7303e-04,7.4144e-16,1
2.1810e-04,9.6503e-16,1
2.5754e-04,9.0694e-16,1
1.5061e-05,2.1512e-15,1
6.1098e-05,1.4712e-15,1
2.9088e-03,inf,1
1.1083e-03,6.9008e-09,1
6.0619e-04,8.4959e-16,1
3.5594e-04,8.0206e-16,1
7.3109e-03,inf,1
4.8828e-04,7.4054e-16,1
1.8799e-03,7.5398e+119,1
1.5595e-03,4.1000e+35,1
2.6606e-04,8.9582e-16,1
4.4262e-04,7.4905e-16,1
3.3481e-04,8.2060e-16,1
1.5901e-03,1.7191e+41,1
2.7440e-05,1.8441e-15,1
5.2352e-03,inf,1
3.1967e-04,8.3516e-16,1
7.7444e-04,2.9058e-15,1
5.2830e-03,inf,1
4.1039e-04,7.6402e-16,1
5.5351e-05,1.5149e-15,1
6.7103e-04,1.1089e-15,1
1.1390e-03,1.3305e-07,1
1.6786e-03,1.3261e+60,1
5.4095e-04,7.5767e-16,1
1.1114e-03,9.1296e-09,1
4.2063e-04,7.5858e-16,1
1.6380e-03,9.3943e+50,1
3.5319e-05,1.7220e-15,1
4.0195e-03,inf,1
1.1038e-05,2.3196e-15,1
1.1654e-03,2.3330e-06,1
3.6994e-03,inf,1
1.2043e-03,2.8317e-04,1
5.8193e-04,8.0270e-16,1
8.5346e-03,inf,1
9.6394e-03,inf,1
1.4739e-05,2.1627e-15,1
3.4112e-04,8.1485e-16,1
2.7490e-05,1.8432e-15,1
6.4707e-04,9.8250e-16,1
3.8660e-05,1.6793e-15,1
1.7577e-03,4.1394e+80,1
3.6256e-04,7.9667e-16,1
4.7788e-05,1.5812e-15,1
1.7163e-04,1.0522e-15,1
1.3995e-05,2.1904e-15,1
3.8890e-03,inf,1
6.0504e-05,1.4755e-15,1
1.2053e-03,3.2691e-04,1
4.7181e-03,inf,1
1.3207e-03,6.9419e+04,1
1.6762e-03,3.6285e+59,1
1.1768e-03,8.7607e-06,1
6.9083e-03,inf,1
6.1595e-03,inf,1
2.6859e-04,8.9261e-16,1
3.4571e-04,8.1078e-16,1
2.3453e-04,9.3939e-16,1
3.0285e-03,inf,1
9.6059e-04,4.4055e-13,1
2.6663e-05,1.8583e-15,1
6.8862e-04,1.2367e-15,1
4.5150e-04,7.4610e-16,1
1.9394e-05,2.0189e-15,1
1.5933e-05,2.1214e-15,1
1.0121e-03,6.0632e-12,1
1.3482e-05,2.2105e-15,1
1.3292e-03,3.9353e+05,1
3.1119e-03,inf,1
5.2587e-04,7.4897e-16,1
1.2780e-03,2.2563e+01,1
3.5059e-03,inf,1
1.1133e-04,1.2192e-15,1
8.4714e-05,1.3310e-15,1
7.0060e-03,inf,1
1.0093e-05,2.3692e-15,1
2.3724e-04,9.3537e-16,1
1.4340e-04,1.1200e-15,1
6.5489e-05,1.4408e-15,1
1.5816e-03,4.3262e+39,1
1.8125e-05,2.0539e-15,1
4.8283e-03,inf,1
1.3771e-03,1.8334e+10,1
2.6864e-04,8.9255e-16,1
8.5786e-03,inf,1
